#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
2-4C1-jAp	R2	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate3
2-4C1-jG	R2	Week7	CON	jej	IgGneg	Sorted	Week7CON	Old	Plate3
2-4C1-jGp	R2	Week7	CON	jej	IgGpos	Sorted	Week7CON	Old	Plate3
2-4C1-jpr	R2	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate3
2-4C2-fA	R2	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
2-4C2-fAp	R2	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
2-4C2-fG	R2	Week7	CON	feces	IgGneg	Sorted	Week7CON	Old	Plate2
2-4C2-fGp	R2	Week7	CON	feces	IgGpos	Sorted	Week7CON	Old	Plate2
2-4C2-fpr	R2	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
2-4C2-jA	R2	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate3
2-4C2-jAp	R2	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate3
2-4C2-jG	R2	Week7	CON	jej	IgGneg	Sorted	Week7CON	Old	Plate3
2-4C2-jGp	R2	Week7	CON	jej	IgGpos	Sorted	Week7CON	Old	Plate3
2-4C2-jpr	R2	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate3
2-4C3-fA	R2	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
2-4C3-fAp	R2	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
2-4C3-fG	R2	Week7	CON	feces	IgGneg	Sorted	Week7CON	Old	Plate2
2-4C3-fGp	R2	Week7	CON	feces	IgGpos	Sorted	Week7CON	Old	Plate2
2-4C3-fpr	R2	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
2-4C3-jA	R2	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate3
2-4C3-jAp	R2	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate3
2-4C3-jG	R2	Week7	CON	jej	IgGneg	Sorted	Week7CON	Old	Plate3
2-4C3-jGp	R2	Week7	CON	jej	IgGpos	Sorted	Week7CON	Old	Plate3
2-4C3-jpr	R2	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate3
2-4C4-fA	R2	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
2-4C4-fAp	R2	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
2-4C4-fG	R2	Week7	CON	feces	IgGneg	Sorted	Week7CON	Old	Plate2
2-4C4-fGp	R2	Week7	CON	feces	IgGpos	Sorted	Week7CON	Old	Plate2
2-4C4-fpr	R2	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
2-4C4-jA	R2	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate3
2-4C4-jAp	R2	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate3
2-4C4-jG	R2	Week7	CON	jej	IgGneg	Sorted	Week7CON	Old	Plate3
2-4C4-jGp	R2	Week7	CON	jej	IgGpos	Sorted	Week7CON	Old	Plate3
2-4C4-jpr	R2	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate3
2-4E1-fA	R2	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate2
2-4E1-fAp	R2	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate2
2-4E1-fG	R2	Week7	EE	feces	IgGneg	Sorted	Week7EE	Old	Plate2
2-4E1-fGp	R2	Week7	EE	feces	IgGpos	Sorted	Week7EE	Old	Plate2
2-4E1-fpr	R2	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate2
2-4E1-jA	R2	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate4
2-4E1-jAp	R2	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate4
2-4E1-jG	R2	Week7	EE	jej	IgGneg	Sorted	Week7EE	Old	Plate4
2-4E1-jGp	R2	Week7	EE	jej	IgGpos	Sorted	Week7EE	Old	Plate4
2-4E1-jpr	R2	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate3
2-4E2-fA	R2	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate3
2-4E2-fAp	R2	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate3
2-4E2-fG	R2	Week7	EE	feces	IgGneg	Sorted	Week7EE	Old	Plate3
2-4E2-fGp	R2	Week7	EE	feces	IgGpos	Sorted	Week7EE	Old	Plate3
2-4E2-fpr	R2	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate3
2-4E2-jA	R2	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate4
2-4E2-jAp	R2	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate4
2-4E2-jG	R2	Week7	EE	jej	IgGneg	Sorted	Week7EE	Old	Plate4
2-4E2-jGp	R2	Week7	EE	jej	IgGpos	Sorted	Week7EE	Old	Plate4
2-4E2-jpr	R2	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate3
2-4E3-fA	R2	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate3
2-4E3-fAp	R2	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate3
2-4E3-fG	R2	Week7	EE	feces	IgGneg	Sorted	Week7EE	Old	Plate3
2-4E3-fGp	R2	Week7	EE	feces	IgGpos	Sorted	Week7EE	Old	Plate3
2-4E3-fpr	R2	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate3
2-4E3-jA	R2	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate4
2-4E3-jAp	R2	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate4
2-4E3-jG	R2	Week7	EE	jej	IgGneg	Sorted	Week7EE	Old	Plate4
2-4E3-jGp	R2	Week7	EE	jej	IgGpos	Sorted	Week7EE	Old	Plate4
2-4E3-jpr	R2	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate3
